10001,642,720,820,75000,170,200
10002,134,62,41,10000,20,200
10003,300,100,50,2500,34,249
10004,562,243,123,5000,38,341
10005,367,581,400,25000,87,374
10006,412,364,223,16000,64,450
10007,400,212,403,11000,23,168
10008,50,23,12,1000,2,100
10009,542,632,741,68000,198,260
10010,200,150,150,8000,43,650
10011,900,800,650,56000,255,514
10012,300,500,450,10000,50,740
10013,200,100,130,8000,20,800
10014,462,300,200,15000,61,900
10015,200,100,60,1080,8,250
10016,500,300,400,16000,50,600
10017,100,200,162,3340,10,100
10018,150,100,50,6240,5,184
10019,200,650,600,24000,185,756
10020,8234,623,580,15123,200,824
